S.no,category,headline,authors,link,short_description,date,text,processed_text,text_length
2328,POLITICS,Community Center That Received Threats To 'Blow Up' Refugees Isn't Backing Down,Hilary Hanson,https://www.huffingtonpost.com/entry/mango-house-threats-refugees_us_588ccf66e4b017637794930d,"The people there are going to ""stand up stronger and say no.""",2017-01-28,"Community Center That Received Threats To 'Blow Up' Refugees Isn't Backing Down The people there are going to ""stand up stronger and say no.""",community center received threat refugee backing people going stand stronger say,80
6556,POLITICS,"Rubio's Tax Cut Is A Huge Giveaway To The Rich, And This Graph Proves It",Jonathan Cohn,https://www.huffingtonpost.com/entry/rubio-tax-cut_us_563b517ae4b0411d306fb6cb,About half of the benefits would go to the wealthiest 5 percent of Americans.,2015-11-05,"Rubio's Tax Cut Is A Huge Giveaway To The Rich, And This Graph Proves It About half of the benefits would go to the wealthiest 5 percent of Americans.",rubio tax cut huge giveaway rich graph prof half benefit would go wealthiest percent american,93
3101,POLITICS,FBI Says It Failed To Act After Receiving Tip About Suspected Florida Shooter,Mollie Reilly and Ryan J. Reilly,https://www.huffingtonpost.com/entry/fbi-tip-florida-shooting_us_5a871527e4b004fc3191bff3,"A caller submitted a tip about ""the potential of him conducting a school shooting.""",2018-02-16,"FBI Says It Failed To Act After Receiving Tip About Suspected Florida Shooter A caller submitted a tip about ""the potential of him conducting a school shooting.""",fbi say failed act receiving tip suspected florida shooter caller submitted tip potential conducting school shooting,116
3511,POLITICS,Paul Ryan's Tea Party Challenger Plays The Man Card,Michael McAuliff,https://www.huffingtonpost.com/entry/paul-ryan-paul-nehlen-video_us_572a6277e4b096e9f090371c,The speaker of the House has his first serious primary challenge from a motorcycle-riding businessman who wants to arm wrestle.,2016-05-05,Paul Ryan's Tea Party Challenger Plays The Man Card The speaker of the House has his first serious primary challenge from a motorcycle-riding businessman who wants to arm wrestle.,paul ryan tea party challenger play man card speaker house first serious primary challenge businessman want arm wrestle,119
7580,POLITICS,Clinton Campaign Actively Courting Prominent Republicans And Independents,Elise Foley,https://www.huffingtonpost.com/entry/hillary-clinton-republican-endorsements_us_57ab2ef4e4b0db3be07c678f,"They want more people to not only oppose Trump, but also come out for Clinton.",2016-08-10,"Clinton Campaign Actively Courting Prominent Republicans And Independents They want more people to not only oppose Trump, but also come out for Clinton.",clinton campaign actively courting prominent republican independent want people oppose trump also come clinton,110
7342,POLITICS,Monday's Morning Email: Tight Senate Races Take Center Stage,Lauren Weber,https://www.huffingtonpost.com/entry/mondays-morning-email-tight-senate-races-take-center-stage_us_580df55fe4b0a03911ed9020,It's a toss-up for who will take the Senate majority.,2016-10-24,Monday's Morning Email: Tight Senate Races Take Center Stage It's a toss-up for who will take the Senate majority.,monday morning email tight senate race take center stage take senate majority,77
1420,POLITICS,Sen. Mazie Hirono Holds Back Tears During Impassioned Health Care Plea,Rebecca Shapiro,https://www.huffingtonpost.com/entry/senator-mazie-hirono-health-care-plea_us_597ac22ae4b02a8434b55cda,"""Where is your compassion? Where is the care that you showed me when I was diagnosed with my illness?""",2017-07-28,"Sen. Mazie Hirono Holds Back Tears During Impassioned Health Care Plea ""Where is your compassion? Where is the care that you showed me when I was diagnosed with my illness?""",mazie hirono hold back tear impassioned health care plea compassion care showed diagnosed illness,97
4984,POLITICS,Senate Committee Subpoenas Michael Flynn For Russia-Related Documents,Mollie Reilly,https://www.huffingtonpost.com/entry/michael-flynn-subpoena_us_591393dae4b030d4f1ef8bfe,The Senate Intelligence Committee is investigating the Trump campaign's ties to Russia.,2017-05-10,Senate Committee Subpoenas Michael Flynn For Russia-Related Documents The Senate Intelligence Committee is investigating the Trump campaign's ties to Russia.,senate committee subpoena michael flynn document senate intelligence committee investigating trump campaign tie russia,118
6140,POLITICS,Clinton Aides Warn Of Electoral Havoc With Bernie At The Helm,Sam Stein,https://www.huffingtonpost.com/entry/clinton-sanders-warnings_us_56b35a20e4b04f9b57d886f6,"Think about the millions of attack ads Republicans will run, they say.",2016-02-04,"Clinton Aides Warn Of Electoral Havoc With Bernie At The Helm Think about the millions of attack ads Republicans will run, they say.",clinton aide warn electoral havoc bernie helm think million attack ad republican run say,88
178,POLITICS,Paul McCartney Joins March For Our Lives In Memory Of John Lennon,Jenna Amatulli,https://www.huffingtonpost.com/entry/paul-mccartney-joins-march-for-our-lives-in-memory-of-john-lennon_us_5ab6893fe4b054d118e34f43,"""One of my best friends was killed in gun violence right around here, so it’s important to me.”",2018-03-24,"Paul McCartney Joins March For Our Lives In Memory Of John Lennon ""One of my best friends was killed in gun violence right around here, so it’s important to me.”",paul mccartney join march life memory john lennon one best friend killed gun violence right around important,108
86,POLITICS,"12 Years of Bush Presidencies = 747,000 Net New Private Sector Jobs","Paul Abrams, ContributorLast person on Earth not on Facebook",https://www.huffingtonpost.com/entry/12-years-of-bush-presidencies_b_7298630.html,"As former Governor Jeb Bush (R-FL) flails about trying to use his family name to attract financial and elite support while also desperately trying to distance himself from his brother's disastrous record, there is another problem he cannot run away from: The 12 Bush years were the worst on record for net new private sector job creation.",2015-05-17,"12 Years of Bush Presidencies = 747,000 Net New Private Sector Jobs As former Governor Jeb Bush (R-FL) flails about trying to use his family name to attract financial and elite support while also desperately trying to distance himself from his brother's disastrous record, there is another problem he cannot run away from: The 12 Bush years were the worst on record for net new private sector job creation.",year bush presidency net new private sector job former governor jeb bush flail trying use family name attract financial elite support also desperately trying distance brother disastrous record another problem run away bush year worst record net new private sector job creation,276
1427,POLITICS,"Ben Carson Once Again Compares Something To Slavery, This Time Abortion",Sam Stein,https://www.huffingtonpost.com/entry/ben-carson-slavery-abortion_us_562cd4c6e4b0443bb564356b,The insurgent GOP candidate says no to exceptions for rape and incest.,2015-10-25,"Ben Carson Once Again Compares Something To Slavery, This Time Abortion The insurgent GOP candidate says no to exceptions for rape and incest.",ben carson compare something slavery time abortion insurgent gop candidate say exception rape incest,100
3782,POLITICS,Koch Brothers Will Not Use Their $400 Million Political Arsenal To Block Trump,"Michelle Conlin, Reuters",https://www.huffingtonpost.com/entry/koch-brothers-say-no-trump-intervention_us_56d84be1e4b0000de4037763,"""We have no plans to get involved in the primary,"" said James Davis, spokesman for Freedom Partners, the Koch brothers’ political umbrella group.",2016-03-03,"Koch Brothers Will Not Use Their $400 Million Political Arsenal To Block Trump ""We have no plans to get involved in the primary,"" said James Davis, spokesman for Freedom Partners, the Koch brothers’ political umbrella group.",koch brother use million political arsenal block trump plan get involved primary said james davis spokesman freedom partner koch brother political umbrella group,161
3909,CRIME,"Could a LA-Style Threat Assessment Team Have Thwarted the Isla Vista, Seattle or Oregon Shooting Sprees?","Art Levine, ContributorContributing Editor, The Washington Monthly",https://www.huffingtonpost.com/entry/could-a-la-style-threat-a_b_5518901.html,"the department still grapples with the reality that at least half of seriously mentally ill people receive no treatment at all, a situation of possible danger to the entire community and, far more often, to themselves.",2014-06-22,"Could a LA-Style Threat Assessment Team Have Thwarted the Isla Vista, Seattle or Oregon Shooting Sprees? the department still grapples with the reality that at least half of seriously mentally ill people receive no treatment at all, a situation of possible danger to the entire community and, far more often, to themselves.",could threat assessment team thwarted isla vista seattle oregon shooting spree department still grapple reality least half seriously mentally ill people receive treatment situation possible danger entire community far often,223
5696,POLITICS,"Oregon Militant Leaders Unhappy With Jail Rules, Want Facebook",Dana Liebelson,https://www.huffingtonpost.com/entry/ammon-ryan-bundy-jail-facebook-internet_us_5751a153e4b0eb20fa0dab02,"""If they are going to detain us as innocent men, then they are obligated to afford us the rights to defend ourselves and emotionally connect to our families.""",2016-06-03,"Oregon Militant Leaders Unhappy With Jail Rules, Want Facebook ""If they are going to detain us as innocent men, then they are obligated to afford us the rights to defend ourselves and emotionally connect to our families.""",oregon militant leader unhappy jail rule want facebook going detain u innocent men obligated afford u right defend emotionally connect family,141
2871,POLITICS,Hyping U.S. Missile Defense Capabilities Could Have Grave Consequences,"Elliott Negin, ContributorSenior Writer, Union of Concerned Scientists",https://www.huffingtonpost.com/entry/hyping-us-missile-defense-capabilities-could-have_us_5a1dc201e4b094f5c77e00ef,"In response to North Korea’s latest ballistic missile test, which flew higher and farther than any of its previous launches",2017-11-29,"Hyping U.S. Missile Defense Capabilities Could Have Grave Consequences In response to North Korea’s latest ballistic missile test, which flew higher and farther than any of its previous launches",hyping missile defense capability could grave consequence response north korea latest ballistic missile test flew higher farther previous launch,144
4587,POLITICS,Critiques of the Presidential Management Fellows Program,"Tom Fox, ContributorVice President, Partnership for Public Service's Center for Go...",https://www.huffingtonpost.com/entry/critiques-of-the-presiden_b_6271088.html,"A number of federal employees responded to my recent column about the Presidential Management Fellows (PMF) program, largely reinforcing the flaws that recent surveys found in the way agencies manage this premier initiative.",2014-12-04,"Critiques of the Presidential Management Fellows Program A number of federal employees responded to my recent column about the Presidential Management Fellows (PMF) program, largely reinforcing the flaws that recent surveys found in the way agencies manage this premier initiative.",critique presidential management fellow program number federal employee responded recent column presidential management fellow pmf program largely reinforcing flaw recent survey found way agency manage premier initiative,220
6200,POLITICS,Tribe Member: 'We Would Have Been Dead By Now' If We Acted Like Oregon Militants,Dana Liebelson,https://www.huffingtonpost.com/entry/tribe-member-american-indians-would-have-been-dead-by-now-if-they-protested-like-oregon-militants_us_568d8bc8e4b0c8beacf58547,The Paiute tribe says the protesters need to leave.,2016-01-06,Tribe Member: 'We Would Have Been Dead By Now' If We Acted Like Oregon Militants The Paiute tribe says the protesters need to leave.,tribe member would dead acted like oregon militant paiute tribe say protester need leave,88
5090,POLITICS,DeRay McKeeson: Outside Agitator,"Eric Herbst, ContributorFreelance writer based out of Los Angeles",https://www.huffingtonpost.com/entry/deray-mckeeson-outside-agitator_b_7655560.html,"Until unaffected populations begin to acknowledge what lies beyond their purview, cops will continue to act with impunity. DeRay McKesson's goal is to show them an unacceptable reality: a black population living in fear of the very police force tasked with protecting them.",2015-06-24,"DeRay McKeeson: Outside Agitator Until unaffected populations begin to acknowledge what lies beyond their purview, cops will continue to act with impunity. DeRay McKesson's goal is to show them an unacceptable reality: a black population living in fear of the very police force tasked with protecting them.",deray mckeeson outside agitator unaffected population begin acknowledge lie beyond purview cop continue act impunity deray mckesson goal show unacceptable reality black population living fear police force tasked protecting,222
3475,POLITICS,Government Shutdowns Are Actually Really Expensive,Dave Jamieson,https://www.huffingtonpost.com/entry/government-shutdowns-are-actually-really-expensive_us_5a635df5e4b0e56300701436,"Lost wages, canceled vacations, and dampened consumer confidence all make government shutdowns the ultimate own goal.",2018-01-20,"Government Shutdowns Are Actually Really Expensive Lost wages, canceled vacations, and dampened consumer confidence all make government shutdowns the ultimate own goal.",government shutdown actually really expensive lost wage canceled vacation dampened consumer confidence make government shutdown ultimate goal,141
195,POLITICS,Washington Governor: 'We Are Not Afraid To Take Action' On Guns,"Donna Gordon Blankinship, AP",https://www.huffingtonpost.com/entry/washington-gun-control_us_568e6c5be4b0a2b6fb6ed356,Jay Inslee appears to be the first governor in the nation to take action after an announcement earlier this week by President Barack Obama on gun control.,2016-01-07,Washington Governor: 'We Are Not Afraid To Take Action' On Guns Jay Inslee appears to be the first governor in the nation to take action after an announcement earlier this week by President Barack Obama on gun control.,washington governor afraid take action gun jay inslee appears first governor nation take action announcement earlier week president barack obama gun control,156
4716,POLITICS,The Libertarian Party Barely Takes Itself Seriously. Why Should We?,Eliot Nelson,https://www.huffingtonpost.com/entry/libertarian-party-never-trump_us_575083f1e4b0eb20fa0d34f3,They're busily blowing their big chance this year.,2016-06-02,The Libertarian Party Barely Takes Itself Seriously. Why Should We? They're busily blowing their big chance this year.,libertarian party barely take seriously busily blowing big chance year,70
961,POLITICS,There's No Federal Law Stopping Businesses From Discriminating Against Female Customers. Now There's A Bill To Fix That.,Amanda Terkel,https://www.huffingtonpost.com/entry/women-discrimination_us_55b022aae4b08f57d5d3a4f0,The measure also would protect the LGBT community.,2015-07-22,There's No Federal Law Stopping Businesses From Discriminating Against Female Customers. Now There's A Bill To Fix That. The measure also would protect the LGBT community.,federal law stopping business discriminating female customer bill fix measure also would protect lgbt community,111
7238,CRIME,"Erica DePalo, Former 'Teacher Of The Year,' Allegedly Had Sexual Relationship With Student",,https://www.huffingtonpost.com/entry/erica-depalo-teacher_us_5ba2aec3e4b0c2784da43cd2,"DePalo was charged with first-degree aggravated sexual assault, second-degree sexual assault and endangering the welfare",2012-09-03,"Erica DePalo, Former 'Teacher Of The Year,' Allegedly Had Sexual Relationship With Student DePalo was charged with first-degree aggravated sexual assault, second-degree sexual assault and endangering the welfare",erica depalo former year allegedly sexual relationship student depalo charged aggravated sexual assault sexual assault endangering welfare,138
1853,POLITICS,"Elizabeth Warren: Donald Trump Is A 'Small, Insecure Money-Grubber'",Peter Andrew Hart,https://www.huffingtonpost.com/entry/elizabeth-warren-donald-trump_us_5765dd53e4b015db1bc99b36,"Warren, who recently endorsed Hillary Clinton, said Trump is a ""proven failure"" who is unfit to lead.",2016-06-19,"Elizabeth Warren: Donald Trump Is A 'Small, Insecure Money-Grubber' Warren, who recently endorsed Hillary Clinton, said Trump is a ""proven failure"" who is unfit to lead.",elizabeth warren donald trump insecure warren recently endorsed hillary clinton said trump proven failure unfit lead,116
3348,POLITICS,"Bill O'Reilly Was Just A Symptom, Fox News Is The Disease","Francis Maxwell, ContributorHost/Writer/Actor",https://www.huffingtonpost.com/entry/bill-oreilly-was-just-a-sympton-fox-news-is-the-disease_us_58f9309de4b0de26cfeae232,Racism and sexism are everyday practice at Fox.,2017-04-22,"Bill O'Reilly Was Just A Symptom, Fox News Is The Disease Racism and sexism are everyday practice at Fox.",bill symptom fox news disease racism sexism everyday practice fox,65
1188,POLITICS,Experts Can't Agree On Whether Voting-Booth Selfies Will Destroy Democracy,Cristian Farias,https://www.huffingtonpost.com/entry/will-voting-booth-selfies-destroy-democracy-experts-disagree_us_55dc953ae4b0a40aa3ac3ed6,A recent court ruling out of New Hampshire has ignited a debate on whether laws banning ballot selfies violate the Constitution.,2015-08-25,Experts Can't Agree On Whether Voting-Booth Selfies Will Destroy Democracy A recent court ruling out of New Hampshire has ignited a debate on whether laws banning ballot selfies violate the Constitution.,expert ca agree whether selfies destroy democracy recent court ruling new hampshire ignited debate whether law banning ballot selfies violate constitution,154
4052,CRIME,Houston Lawyer Shoots 9 Before Shot Dead By Police,,https://www.huffingtonpost.com/entry/houston-shooting-mall_us_57e9b12ce4b0c2407cd8e155,"The man was in a military-style uniform with Nazi items, and police found thousands of rounds of ammo in his car.",2016-09-26,"Houston Lawyer Shoots 9 Before Shot Dead By Police The man was in a military-style uniform with Nazi items, and police found thousands of rounds of ammo in his car.",houston lawyer shoot shot dead police man uniform nazi item police found thousand round ammo car,96
30,POLITICS,"Live Results: Democratic Contests In Washington, Alaska, Hawaii",,https://www.huffingtonpost.comhttp://elections.huffingtonpost.com/2016/primaries/2016-03-26,"The latest results as Democrats caucus in Washington, Alaska and Hawaii.",2016-03-26,"Live Results: Democratic Contests In Washington, Alaska, Hawaii The latest results as Democrats caucus in Washington, Alaska and Hawaii.",live result democratic contest washington alaska hawaii latest result democrat caucus washington alaska hawaii,110
6660,POLITICS,Donald Trump Falsely Claims U.S. Is The Highest-Taxed Nation,Arthur Delaney,https://www.huffingtonpost.com/entry/trump-highest-taxed-nation_us_59affebfe4b0354e440e4665,Businesses and individuals in the U.S. have a lower tax burden than they would in other countries.,2017-09-06,Donald Trump Falsely Claims U.S. Is The Highest-Taxed Nation Businesses and individuals in the U.S. have a lower tax burden than they would in other countries.,donald trump falsely claim nation business individual lower tax burden would country,84
3753,POLITICS,David Petraeus' Comeback Highlights The Sexist Double-Standard We Can't Escape,Emily Peck,https://www.huffingtonpost.com/entry/david-petraeus-paula-broadwell_us_5846c007e4b028b323392ded,"While Petraeus could represent the U.S. around the world, Paula Broadwell hangs in limbo.",2016-12-06,"David Petraeus' Comeback Highlights The Sexist Double-Standard We Can't Escape While Petraeus could represent the U.S. around the world, Paula Broadwell hangs in limbo.",david petraeus comeback highlight sexist ca escape petraeus could represent around world paula broadwell hang limbo,115
5831,CRIME,"Colorado Springs Shooting Rampage Leaves 4 Dead, Including Gunman",Sebastian Murdock,https://www.huffingtonpost.com/entry/colorado-springs-shooting-rampage-leaves-4-dead-including-gunman_us_56352a5ae4b00aa54a4e754c,"Four officers fired back, killing the suspect.",2015-10-31,"Colorado Springs Shooting Rampage Leaves 4 Dead, Including Gunman Four officers fired back, killing the suspect.",colorado spring shooting rampage leaf dead including gunman four officer fired back killing suspect,99
7120,POLITICS,Obama Chides Darrell Issa For Touting Alliance With Him In Re-Election Fight,Laura Barrón-López,https://www.huffingtonpost.com/entry/obama-darrell-issa_us_580e2324e4b000d0b1578c14,"""That is the definition of chutzpah,” the president said.",2016-10-24,"Obama Chides Darrell Issa For Touting Alliance With Him In Re-Election Fight ""That is the definition of chutzpah,” the president said.",obama chides darrell issa touting alliance fight definition chutzpah president said,83
7535,POLITICS,Trump White House Finally Confronts A Scandal It Can’t Quash With An ‘Alternative Fact',S.V. Date,https://www.huffingtonpost.com/entry/trump-porter-falsehoods_us_5a8b4915e4b0117adf7103ed,#MeToo and photos of an ex-wife’s bruised eye forced Trump’s staff to back away from original explanations – and shredded the president’s credibility even further.,2018-02-20,Trump White House Finally Confronts A Scandal It Can’t Quash With An ‘Alternative Fact' #MeToo and photos of an ex-wife’s bruised eye forced Trump’s staff to back away from original explanations – and shredded the president’s credibility even further.,trump white house finally confronts scandal quash alternative fact metoo photo bruised eye forced trump staff back away original explanation shredded president credibility even,176
4908,POLITICS,Will Suburban Activism Pave The Democratic Path To The House?,"Justin Miller, The American Prospect",https://www.huffingtonpost.com/entry/grassroots-house-2018_us_58da7d41e4b0928a6b780ada,"If they’re to retake Congress in 2018, Democrats need their newfound activist hordes to focus on health coverage—and diverse, upscale swing districts.",2017-03-28,"Will Suburban Activism Pave The Democratic Path To The House? If they’re to retake Congress in 2018, Democrats need their newfound activist hordes to focus on health coverage—and diverse, upscale swing districts.",suburban activism pave democratic path house retake congress democrat need newfound activist horde focus health diverse upscale swing district,142
7054,CRIME,"Officer Who Slit Restrained Dog's Throat To Get $45,000 In Back Pay",Hilary Hanson,https://www.huffingtonpost.com/entry/jeffrey-bolger-dog-slit-throat-back-pay_us_56e0a2c4e4b0860f99d7c067,The pup had escaped from home and bitten a woman trying to read her tags.,2016-03-09,"Officer Who Slit Restrained Dog's Throat To Get $45,000 In Back Pay The pup had escaped from home and bitten a woman trying to read her tags.",officer slit restrained dog throat get back pay pup escaped home bitten woman trying read tag,93
5574,CRIME,Woman Accused Of Poisoning Friend With Cheesecake In Identity Theft Plot,David Moye,https://www.huffingtonpost.com/entry/woman-poisoned-friend-cheesecake-identity-theft_us_5a983d07e4b0479c025055ae,"The suspect, wanted for murder in Russia, targeted a woman who looked like her and spoke Russian, authorities said.",2018-03-01,"Woman Accused Of Poisoning Friend With Cheesecake In Identity Theft Plot The suspect, wanted for murder in Russia, targeted a woman who looked like her and spoke Russian, authorities said.",woman accused poisoning friend cheesecake identity theft plot suspect wanted murder russia targeted woman looked like spoke russian authority said,146
696,CRIME,Innocent Bystanders: How Inept Attorneys Enable Wrongful Convictions,"Lorenzo Johnson, ContributorServed 16 and a half years of a life-without-parole sentence a...",https://www.huffingtonpost.com/entry/innocent-bystanders-how-inept-attorneys_b_7483564.html,No attorney who is just a year out of law school should be representing someone when their life is at stake. Everyone should be entitled to effective counsel. My innocence could have been proven from day one if I'd had effective counsel at trial.,2015-06-02,Innocent Bystanders: How Inept Attorneys Enable Wrongful Convictions No attorney who is just a year out of law school should be representing someone when their life is at stake. Everyone should be entitled to effective counsel. My innocence could have been proven from day one if I'd had effective counsel at trial.,innocent bystander inept attorney enable wrongful conviction attorney year law school representing someone life stake everyone entitled effective counsel innocence could proven day one effective counsel trial,208
5705,POLITICS,"The World Isn't Flat, It's Hollow","Spencer Critchley, ContributorFounder of Boots Road Group LLC, a digital marketing agency fo...",https://www.huffingtonpost.com/entry/the-world-is-not-flat-its_b_5744854.html,"For some, nationalism can feel like all they have. Others turn to a gang, revenge, or a twisted form of Islam. None of this, of course, remotely excuses invasions, gang violence, massacres or terrorism. But it may be a warning that we can't just flatten the world. We also have to find ways to fill it up.",2014-09-03,"The World Isn't Flat, It's Hollow For some, nationalism can feel like all they have. Others turn to a gang, revenge, or a twisted form of Islam. None of this, of course, remotely excuses invasions, gang violence, massacres or terrorism. But it may be a warning that we can't just flatten the world. We also have to find ways to fill it up.",world flat hollow nationalism feel like others turn gang revenge twisted form islam none course remotely excuse invasion gang violence massacre terrorism may warning ca flatten world also find way fill,201
4949,POLITICS,Trump Campaign Adviser Throws Crazy Shade At Corey Lewandowski,Christina Wilkie,https://www.huffingtonpost.com/entry/michael-caputo-corey-lewandowski-firing_us_57680778e4b015db1bc9eb78,"Unless calling someone a ""witch"" is supposed to be a compliment?",2016-06-20,"Trump Campaign Adviser Throws Crazy Shade At Corey Lewandowski Unless calling someone a ""witch"" is supposed to be a compliment?",trump campaign adviser throw crazy shade corey lewandowski unless calling someone witch supposed compliment,107
4762,CRIME,Escaped Inmates Had a 16 Hour Head Start And Likely Help From Inside,,https://www.huffingtonpost.com/entry/escaped-inmates-had-a-head-start_us_56a773afe4b0172c6594143c,"Jail officials didn't realize that the three inmates, charged with violent felonies, were missing until long after they vanished Friday.",2016-01-26,"Escaped Inmates Had a 16 Hour Head Start And Likely Help From Inside Jail officials didn't realize that the three inmates, charged with violent felonies, were missing until long after they vanished Friday.",escaped inmate hour head start likely help inside jail official realize three inmate charged violent felony missing long vanished friday,136
7365,POLITICS,Exploding Inequality Is Threatening Our Democracy,"Jon Wisman and Aaron Pacitti, Contributors",https://www.huffingtonpost.com/entry/exploding-inequality-is-t_b_5869650.html,"If democracy is to endure, it's time for the non-elites to recognize that class warfare is being waged against them and rigorously fight back. It isn't just their material well-being that's at stake, it is also their freedom and our democracy.",2014-09-24,"Exploding Inequality Is Threatening Our Democracy If democracy is to endure, it's time for the non-elites to recognize that class warfare is being waged against them and rigorously fight back. It isn't just their material well-being that's at stake, it is also their freedom and our democracy.",exploding inequality threatening democracy democracy endure time recognize class warfare waged rigorously fight back material stake also freedom democracy,154
3224,POLITICS,Silicon Valley Enlisted To Fight North Carolina's Anti-LGBT Law,Mollie Reilly,https://www.huffingtonpost.com/entry/human-rights-campaign-hb2_us_5733a0f0e4b08f96c18218fe,The Human Rights Campaign is calling on tech leaders to support the Justice Department's case against HB2.,2016-05-11,Silicon Valley Enlisted To Fight North Carolina's Anti-LGBT Law The Human Rights Campaign is calling on tech leaders to support the Justice Department's case against HB2.,silicon valley enlisted fight north carolina law human right campaign calling tech leader support justice department case,121
6052,POLITICS,2016 Candidates Are Finally Taking Paid Family Leave Seriously,Emily Peck,https://www.huffingtonpost.com/entry/2016-candidates-paid-family-leave_us_568fd2a5e4b0c8beacf6a529,"Just a year ago, Clinton said it wasn't politically feasible.",2016-01-08,"2016 Candidates Are Finally Taking Paid Family Leave Seriously Just a year ago, Clinton said it wasn't politically feasible.",candidate finally taking paid family leave seriously year ago clinton said politically feasible,95
857,POLITICS,Twitter Bans GOP Candidate For Racist Meghan Markle Tweet,David Moye,https://www.huffingtonpost.com/entry/paul-nehlen-meghan-markle-twitter-ban_us_5a81c9c3e4b08dfc930694cc,"Paul Nehlen superimposed a picture of Cheddar Man, an ancient Briton with dark skin, over Markle's face.",2018-02-12,"Twitter Bans GOP Candidate For Racist Meghan Markle Tweet Paul Nehlen superimposed a picture of Cheddar Man, an ancient Briton with dark skin, over Markle's face.",twitter ban gop candidate racist meghan markle tweet paul nehlen superimposed picture cheddar man ancient briton dark skin markle face,134
3103,POLITICS,Inside the DNC Unity Reform Commission,Alexander Zaitchik,https://www.huffingtonpost.com/entry/inside-the-dnc-unity-reform-commission_us_58b9818de4b05cf0f3ffd657,Can a factious 21-member study group save the Democratic Party?,2017-03-07,Inside the DNC Unity Reform Commission Can a factious 21-member study group save the Democratic Party?,inside dnc unity reform commission factious study group save democratic party,77
3609,POLITICS,"In A Flashback To Cold War Days, Pentagon Announces Plan To Deploy Troops Along Russian Border",Dominique Mosbergen,https://www.huffingtonpost.com/entry/pentagon-troops-russia-nato_us_56fcd667e4b0a06d5804d177,The proposal comes amid mounting tensions between Russia and the West.,2016-03-31,"In A Flashback To Cold War Days, Pentagon Announces Plan To Deploy Troops Along Russian Border The proposal comes amid mounting tensions between Russia and the West.",flashback cold war day pentagon announces plan deploy troop along russian border proposal come amid mounting tension russia west,128
1972,CRIME,Chicago Police Commander Goes To Trial For Allegedly Putting Gun In Suspect's Mouth,,https://www.huffingtonpost.com/entry/chicago-cop-faces-trial-for-gun-in-mouth_us_566710dee4b08e945ff1061a,Glenn Evans faces charges of aggravated battery and official misconduct for the 2013 incident.,2015-12-08,Chicago Police Commander Goes To Trial For Allegedly Putting Gun In Suspect's Mouth Glenn Evans faces charges of aggravated battery and official misconduct for the 2013 incident.,chicago police commander go trial allegedly putting gun suspect mouth glenn evans face charge aggravated battery official misconduct incident,141
4039,CRIME,"Chicago Cop Shoots Dead Teen, 55-Year-Old Woman",Sebastian Murdock,https://www.huffingtonpost.com/entry/chicago-cop-fatally-shoots-mentally-ill-teen-56-year-old-woman_us_567ecb6ae4b014efe0d850f6,"""We're thinking the police are going to serve us, take him to the hospital. They took his life.""",2015-12-26,"Chicago Cop Shoots Dead Teen, 55-Year-Old Woman ""We're thinking the police are going to serve us, take him to the hospital. They took his life.""",chicago cop shoot dead teen woman thinking police going serve u take hospital took life,87
1781,POLITICS,Las Vegas Casino Workers Recognize Stephen Paddock: 'I Wish I Had Never Seen His Face',"Holly Bailey, Yahoo! News",https://www.huffingtonpost.com/entry/las-vegas-casino-workers-recognize-stephen-paddock-i-wish-i-had-never-seen-his-face_us_59d549bfe4b0cde45872be0e,"LAS VEGAS — The name sounded familiar, but when a worker at the Tropicana Casino and Resort saw the first public photo of",2017-10-04,"Las Vegas Casino Workers Recognize Stephen Paddock: 'I Wish I Had Never Seen His Face' LAS VEGAS — The name sounded familiar, but when a worker at the Tropicana Casino and Resort saw the first public photo of",la vega casino worker recognize stephen paddock wish never seen face la vega name sounded familiar worker tropicana casino resort saw first public photo,152
2231,POLITICS,Michael Moore Declares That Donald Trump 'Won' The Debate,Ron Dicker,https://www.huffingtonpost.com/entry/michael-moore-trump-won-debate_us_57ebc7c5e4b024a52d2ba5e2,"Yes, that Michael Moore.",2016-09-28,"Michael Moore Declares That Donald Trump 'Won' The Debate Yes, that Michael Moore.",michael moore declares donald trump debate yes michael moore,60
2629,POLITICS,Trump Goes Full Nixon,Christina Wilkie,https://www.huffingtonpost.com/entry/trump-nixon_us_5787b398e4b0867123e00dc9,A cartoon for The Huffington Post by Mike Shapiro.,2016-07-14,Trump Goes Full Nixon A cartoon for The Huffington Post by Mike Shapiro.,trump go full nixon cartoon huffington post mike shapiro,56
4439,POLITICS,White Nationalists Are Thrilled With Donald Trump's Pick Of Steve Bannon As Chief Strategist,Matt Ferner,https://www.huffingtonpost.com/entry/steve-bannon-white-nationalists-thrilled_us_582a0536e4b060adb56f86b5,"“It is easy to see why the KKK views Trump as their champion,” one Democratic spokesman said.",2016-11-14,"White Nationalists Are Thrilled With Donald Trump's Pick Of Steve Bannon As Chief Strategist “It is easy to see why the KKK views Trump as their champion,” one Democratic spokesman said.",white nationalist thrilled donald trump pick steve bannon chief strategist easy see kkk view trump champion one democratic spokesman said,137
